# Meant for editor testing only



wall |200,0| 200,200|
wall |400,0| 200,200|
wall |600,0| 200,200|
wall |800,0| 200,200|
wall |1000,0| 200,200|
wall |0,200| 200,200|
wall |0,400| 200,200|
wall |0,600| 200,200|
wall |1200,0| 200,200|
wall |1400,0| 200,200|
wall |1600,0| 200,200|
wall |1800,0| 200,200|
wall |2000,0| 200,200|
wall |2200,0| 200,200|
wall |2400,0| 200,200|
wall |2600,0| 200,200|
wall |2800,0| 200,200|
wall |3000,0| 200,200|
wall |3200,0| 200,200|
wall |3400,0| 200,200|
wall |3600,0| 200,200|
wall |3800,0| 200,200|
wall |4000,0| 200,200|
wall |4200,0| 200,200|
wall |4400,0| 200,200|
wall |4600,0| 200,200|
wall |4800,0| 200,200|
wall |5000,0| 200,200|
wall |5200,0| 200,200|
wall |5400,0| 200,200|
wall |5600,0| 200,200|
wall |5800,0| 200,200|
wall |6000,0| 200,200|
wall |6200,0| 200,200|
wall |6400,0| 200,200|
wall |6600,0| 200,200|
wall |6800,0| 200,200|
wall |7000,0| 200,200|
wall |7200,0| 200,200|
wall |7400,0| 200,200|
wall |7600,0| 200,200|
wall |7800,0| 200,200|
wall |8000,0| 200,200|
wall |0,800| 200,200|
wall |0,1000| 200,200|
wall |0,1200| 200,200|
monster |800,400| chaser|
monster |1000,400| chaser|
monster |2000,400| chaser|
monster |1800,400| chaser|
monster |1600,400| chaser|
monster |1400,400| chaser|
monster |2600,400| chaser|
monster |3200,400| chaser|
monster |4400,400| chaser|
monster |4000,400| chaser|
monster |4200,200| chaser|
monster |5400,400| chaser|
monster |5200,200| chaser|
monster |5000,400| chaser|
monster |6400,400| chaser|
monster |6400,200| chaser|
monster |6600,200| chaser|
monster |6800,400| chaser|
monster |7600,400| chaser|
monster |7800,200| chaser|
monster |7800,400| chaser|
wall |8200,2000| 200,200|

wall |8200,3200| 200,200|
wall |8200,3400| 200,200|

wall |8200,5400| 200,200|
wall |8000,5400| 200,200|
wall |7800,5400| 200,200|
wall |7600,5400| 200,200|
wall |7400,5400| 200,200|
wall |7200,5400| 200,200|
wall |7000,5400| 200,200|
wall |6800,5400| 200,200|
wall |6600,5400| 200,200|
wall |6400,5400| 200,200|
wall |6200,5400| 200,200|
wall |6000,5400| 200,200|
wall |5800,5400| 200,200|
wall |5600,5400| 200,200|
wall |5400,5400| 200,200|
wall |5200,5400| 200,200|
wall |5000,5400| 200,200|
wall |4800,5400| 200,200|
wall |4600,5400| 200,200|
wall |4400,5400| 200,200|
wall |4200,5400| 200,200|
wall |4000,5400| 200,200|
wall |3800,5400| 200,200|
wall |3600,5400| 200,200|
wall |3400,5400| 200,200|
wall |3200,5400| 200,200|
wall |3000,5400| 200,200|
wall |2800,5400| 200,200|
wall |2600,5400| 200,200|
wall |2400,5400| 200,200|
wall |2200,5400| 200,200|
wall |2000,5400| 200,200|
wall |1800,5400| 200,200|
wall |1600,5400| 200,200|
wall |1400,5400| 200,200|
wall |1200,5400| 200,200|
wall |1000,5400| 200,200|
wall |800,5400| 200,200|
wall |600,5400| 200,200|
wall |400,5400| 200,200|
wall |200,5400| 200,200|
wall |0,5400| 200,200|
wall |0,5200| 200,200|
wall |0,5000| 200,200|
wall |0,4800| 200,200|
wall |0,4200| 200,200|
wall |0,4000| 200,200|
wall |0,3800| 200,200|
wall |0,3600| 200,200|
wall |0,1400| 200,200|
wall |0,1600| 200,200|
wall |0,1800| 200,200|
wall |0,2400| 200,200|
wall |0,2600| 200,200|
wall |0,2800| 200,200|
wall |0,3000| 200,200|
wall |8400,5400| 200,200|
wall |8600,5400| 200,200|
wall |8800,5400| 200,200|
wall |9000,5400| 200,200|
wall |9200,5400| 200,200|
wall |9400,5400| 200,200|
wall |9400,5200| 200,200|
wall |9400,5000| 200,200|
wall |9400,4800| 200,200|
wall |9400,4200| 200,200|
wall |9400,4000| 200,200|
wall |9400,3800| 200,200|
wall |9400,3600| 200,200|
wall |9400,3000| 200,200|
wall |9400,2800| 200,200|
wall |9400,2600| 200,200|
wall |9400,2400| 200,200|
wall |9400,1800| 200,200|
wall |9400,1600| 200,200|
wall |9400,1400| 200,200|
wall |9400,1200| 200,200|
wall |9400,600| 200,200|
wall |9400,400| 200,200|
wall |9400,200| 200,200|
wall |9400,0| 200,200|
wall |9200,0| 200,200|
wall |9000,0| 200,200|
wall |8800,0| 200,200|
wall |8600,0| 200,200|
wall |8400,0| 200,200|
wall |8200,0| 200,200|


